"";"t_n";"x";"x_diff"
"642";3462;3,04;-0,0699999999999998
"643";3464;3,11;0,0699999999999998
"644";3467;2,93;-0,18
"645";3470;2,86;-0,0700000000000003
"646";3473;3,06;0,2
"647";3476;2,96;-0,1
"648";3479;3,09;0,13
"649";3482;3,18;0,0900000000000003
"650";3485;3,07;-0,11
"651";3488;2,96;-0,11
"652";3491;2,97;0,0100000000000002
"653";3494;3,03;0,0599999999999996
"654";3497;2,71;-0,32
"655";3501;2,88;0,17
"656";3506;2,94;0,0600000000000001
"657";3510;2,87;-0,0699999999999998
"658";3514;2,88;0,00999999999999979
"659";3517;2,98;0,1
"660";3520;3,06;0,0800000000000001
"661";3522;3;-0,0600000000000001
"662";3525;2,92;-0,0800000000000001
"663";3527;2,953;0,0329999999999999
"664";3528;2,945;-0,00800000000000001
"665";3530;2,96;0,0150000000000001
"666";3531;2,76;-0,2
"667";3534;2,92;0,16
"668";3535;2,79;-0,13
"669";3537;2,97;0,18
"670";3539;2,85;-0,12
"671";3540;2,88;0,0299999999999998
"672";3542;2,9;0,02
"673";3544;2,99;0,0900000000000003
"674";3546;3,08;0,0899999999999999
"675";3548;3,4;0,32
"676";3549;3,19;-0,21
"677";3551;3,05;-0,14
"678";3553;3,11;0,0600000000000001
"679";3554;2,79;-0,32
"680";3556;2,92;0,13
"681";3558;3,04;0,12
"682";3560;3,13;0,0899999999999999
"683";3562;3,07;-0,0600000000000001
"684";3563;3,03;-0,04
"685";3565;3;-0,0299999999999998
"686";3567;3,02;0,02
"687";3569;3,09;0,0699999999999998
"688";3570;3,03;-0,0600000000000001
"689";3572;3;-0,0299999999999998
"690";3574;2,89;-0,11
"691";3576;2,8;-0,0900000000000003
"692";3577;3,02;0,22
"693";3580;2,99;-0,0299999999999998
"694";3584;3,19;0,2
"695";3587;3,13;-0,0600000000000001
"696";3590;3,25;0,12
"697";3594;3,01;-0,24
"698";3597;2,96;-0,0499999999999998
"699";3601;2,92;-0,04
"700";3604;2,99;0,0700000000000003
"701";3608;3,12;0,13
"702";3611;2,95;-0,17
"703";3615;2,67;-0,28
"704";3618;2,85;0,18
"705";3621;2,94;0,0899999999999999
"706";3624;3,19;0,25
"707";3628;3,22;0,0300000000000002
"708";3631;3,21;-0,0100000000000002
"709";3634;3,43;0,22
"710";3637;3,13;-0,3
"711";3640;2,86;-0,27
"712";3643;2,9;0,04
"713";3647;2,87;-0,0299999999999998
"714";3650;2,88;0,00999999999999979
"715";3653;2,77;-0,11
"716";3658;2,87;0,1
"717";3663;3,01;0,14
"718";3668;3,13;0,12
"719";3674;3,22;0,0900000000000003
"720";3679;3,29;0,0699999999999998
"721";3683;3,23;-0,0600000000000001
"722";3686;3,16;-0,0699999999999998
"723";3690;3,12;-0,04
"724";3693;2,9;-0,22
"725";3697;2,92;0,02
"726";3700;2,64;-0,28
"727";3704;3,03;0,39
"728";3708;2,99;-0,0399999999999996
"729";3711;2,82;-0,17
"730";3713;2,98;0,16
"731";3716;3,07;0,0899999999999999
"732";3719;3,14;0,0700000000000003
"733";3722;3,17;0,0299999999999998
"734";3725;3,03;-0,14
"735";3727;2,79;-0,24
"736";3729;2,97;0,18
"737";3733;2,91;-0,0600000000000001
"738";3737;2,72;-0,19
"739";3741;2,86;0,14
"740";3745;2,85;-0,00999999999999979
"741";3749;2,86;0,00999999999999979
"742";3753;2,85;-0,00999999999999979
"743";3756;2,93;0,0800000000000001
"744";3759;3,08;0,15
"745";3762;2,89;-0,19
"746";3765;2,88;-0,0100000000000002
"747";3768;2,79;-0,0899999999999999
"748";3770;2,69;-0,1
"749";3774;2,76;0,0699999999999998
"750";3779;2,66;-0,0999999999999996
"751";3783;2,85;0,19
"752";3786;3,06;0,21
"753";3790;3,16;0,1
"754";3794;3,2;0,04
"755";3799;2,89;-0,31
"756";3803;2,88;-0,0100000000000002
"757";3808;3,02;0,14
"758";3811;2,99;-0,0299999999999998
"759";3816;3,06;0,0699999999999998
"760";3820;3,02;-0,04
"761";3824;3,11;0,0899999999999999
"762";3828;2,97;-0,14
"763";3833;2,89;-0,0800000000000001
"764";3837;2,93;0,04
"765";3841;3,18;0,25
"766";3846;3,16;-0,02
"767";3850;2,81;-0,35
"768";3854;2,68;-0,13
"769";3858;2,63;-0,0500000000000003
"770";3861;2,62;-0,00999999999999979
"771";3864;2,98;0,36
"772";3868;2,7;-0,28
"773";3872;2,75;0,0499999999999998
"774";3876;2,99;0,24
"775";3879;3,02;0,0299999999999998
"776";3883;3,13;0,11
"777";3887;3,14;0,0100000000000002
"778";3891;2,83;-0,31
"779";3894;2,86;0,0299999999999998
"780";3897;3,02;0,16
"781";3900;2,72;-0,3
"782";3902;2,97;0,25
"783";3905;3,05;0,0799999999999996
"784";3908;2,95;-0,0999999999999996
"785";3912;2,91;-0,04
"786";3915;2,97;0,0600000000000001
"787";3918;2,86;-0,11
"788";3920;2,85;-0,00999999999999979
"789";3921;2,85;0
"790";3923;3,03;0,18
"791";3925;2,97;-0,0599999999999996
"792";3927;3,06;0,0899999999999999
